ID	Dist.(miles)	Alt(ft)	Time
A033FF/DAL772  	2.3	18125	2022-01-12 16:37:51.800000
ADFEBE/R60108  	1.6	13825	2022-01-12 16:39:58.800000
A41E29/UAL1276 	0.6	20575	2022-01-12 16:40:53.800000
A46D95/UAL1946 	2.1	19700	2022-01-12 16:42:59.800000
A0373E/N1129K  	1.9	625	2022-01-12 16:43:16.800000
A28BC9/SKW103R 	0.6	21700	2022-01-12 16:45:30.800000
A0373E/N1129K  	2.1	550	2022-01-12 16:47:04.800000
A65D06/SKW6263 	0.6	22025	2022-01-12 16:48:37.800000
A1FCF9/N227WC  	0.8	1925	2022-01-12 16:49:08.800000
A0373E/N1129K  	2.1	575	2022-01-12 16:51:15.800000
A0373E/N1129K  	2.0	625	2022-01-12 16:55:58.800000
A0373E/N1129K  	2.0	575	2022-01-12 17:00:39.800000
A0373E/N1129K  	2.1	575	2022-01-12 17:03:55.800000
AC6F5F/N900CA  	1.9	4600	2022-01-12 17:08:59.800000
A0373E/N1129K  	1.9	575	2022-01-12 17:09:14.800000
A8352B/NKS868  	0.6	19500	2022-01-12 17:10:11.800000
A37FF0/N3243C  	0.3	1700	2022-01-12 17:12:19.800000
A0373E/N1129K  	2.2	525	2022-01-12 17:13:35.800000
AC712D/SWA3126 	0.6	25200	2022-01-12 17:14:54.800000
A0373E/N1129K  	2.3	375	2022-01-12 17:17:42.800000
AD2D51/CAP401  	1.9	1725	2022-01-12 17:22:54.800000
A17ECD/DAL392  	0.5	24100	2022-01-12 17:27:43.800000
A31B97/N3KX    	1.5	4200	2022-01-12 17:29:04.800000
A4E3C7/N414JC  	1.7	5750	2022-01-12 17:29:48.800000
A95DBA/DAL342  	0.7	20725	2022-01-12 17:31:11.800000
AB19D6/SIS814  	1.5	9375	2022-01-12 17:34:48.800000
ABD17B/SWA1368 	0.6	19125	2022-01-12 17:36:16.800000
A6F164/N5466D  	2.4	0	2022-01-12 17:39:06.800000
A07B3E/AAL2279 	0.6	18725	2022-01-12 17:41:03.800000
A4328F/N37MK   	2.0	5600	2022-01-12 17:44:55.800000
A7E579/FDX849  	0.6	23625	2022-01-12 17:50:02.800000
A52A99/AAL1989 	0.7	23575	2022-01-12 17:54:57.800000
AC8CE5/AAL990  	0.6	18800	2022-01-12 17:56:18.800000
A677CA/ASA1108 	0.6	24075	2022-01-12 17:58:28.800000
A66316/SKW6252 	0.8	22675	2022-01-12 18:08:25.800000
A1FCF9/N227WC  	1.3	1650	2022-01-12 18:08:45.800000
A774B7/N58MW   	1.1	26275	2022-01-12 18:14:40.800000
A0373E/N1129K  	1.9	675	2022-01-12 18:18:27.800000
A0373E/N1129K  	2.1	525	2022-01-12 18:22:48.800000
A9D6E0/N733HA  	1.4	1175	2022-01-12 18:26:48.800000
A0373E/N1129K  	2.1	500	2022-01-12 18:27:15.800000
A54AAA/AAL2746 	0.6	24550	2022-01-12 18:27:57.800000
AD41CD/SWA5964 	0.1	23500	2022-01-12 18:29:06.800000
AC6F5F/N900CA  	2.5	3700	2022-01-12 18:29:24.800000
ABE82C/SWA2692 	0.6	24500	2022-01-12 18:34:33.800000
A0373E/N1129K  	2.1	600	2022-01-12 18:35:11.800000
A0373E/N1129K  	1.3	1325	2022-01-12 18:42:07.800000
AA5BFD/N767ER  	1.5	700	2022-01-12 18:46:11.800000
AB6CC9/ASA210  	0.7	23850	2022-01-12 18:46:43.800000
A4DEF4/N41270  	2.5	800	2022-01-12 18:49:03.800000
A44502/DAL671  	0.6	20525	2022-01-12 18:49:14.800000
A14D65/N183SD  	1.7	525	2022-01-12 18:52:19.800000
A4DEF4/N41270  	1.8	500	2022-01-12 18:53:18.800000
AB00A9/FDY803  	1.3	5625	2022-01-12 18:54:17.800000
A46E40/DAL321  	0.6	16100	2022-01-12 18:54:32.800000
AA422C/N760GP  	1.6	475	2022-01-12 18:55:36.800000
AD2D51	0.1	1350	2022-01-12 18:59:39.800000
A4190F/N363SP  	2.0	600	2022-01-12 19:02:28.800000
A89155/N651KC  	1.4	1200	2022-01-12 19:03:25.800000
