|  icao   | flight  | alt   | dist | rssi  |   type       |  cat | seen  | mesg  | lat        | long       |         time            |
| A4190F  | N363SP  |  3200 |  4.2 |  -5.4 |    adsr_icao |   A1 |   1.0 |  1156 |  33.682546 |-117.795982 |Sat Jan 29 22:07:35 2022 |
| AC8AC8  | N907SL  |  1900 |  7.2 |  -4.3 |    adsb_icao |   A1 |   0.2 |  6996 |  33.663040 |-117.721252 |Sat Jan 29 22:07:35 2022 |
| ACAE7C  | N916RR  |  2150 |  8.5 | -15.3 |    adsb_icao |   A1 |   0.0 | 42764 |  33.662435 |-117.985840 |Sat Jan 29 22:07:37 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -2.1 |    adsb_icao |   A2 |   0.4 |  4643 |  33.589417 |-117.966035 |Sat Jan 29 22:07:37 2022 |
| A93AE7  | N694PR  |  2200 |  6.6 | -28.6 |    adsr_icao |   A1 |   0.0 |   804 |  33.619263 |-117.955553 |Sat Jan 29 22:07:37 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  31.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:37 2022 |
| A83988  | ASA810  |  0400 |  4.8 |  -5.3 |    adsb_icao |   A3 |   0.0 |  8749 |  33.703448 |-117.851257 |Sat Jan 29 22:07:37 2022 |
| A14D65  | N183SD  |  0575 |  1.8 | -10.4 |    adsb_icao |   A7 |   0.6 | 20755 |  33.661411 |-117.847424 |Sat Jan 29 22:07:37 2022 |
| A53BC6  | N4360F  |  5175 |  7.6 |  -3.5 |    adsb_icao |   A1 |   0.2 |  2766 |  33.525525 |-117.843503 |Sat Jan 29 22:07:37 2022 |
| A4190F  | N363SP  |  3200 |  4.3 |  -4.2 |    adsr_icao |   A1 |   0.7 |  1170 |  33.683198 |-117.795296 |Sat Jan 29 22:07:37 2022 |
| AC8AC8  | N907SL  |  1900 |  7.2 | -10.3 |    adsb_icao |   A1 |   0.1 |  7012 |  33.663071 |-117.721925 |Sat Jan 29 22:07:37 2022 |
| ACAE7C  | N916RR  |  2150 |  8.4 |  -7.8 |    adsb_icao |   A1 |   0.1 | 42788 |  33.662621 |-117.984467 |Sat Jan 29 22:07:39 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -1.8 |    adsb_icao |   A2 |   0.0 |  4680 |  33.591705 |-117.967100 |Sat Jan 29 22:07:39 2022 |
| A93AE7  | N694PR  |  2200 |  6.6 | -29.0 |    adsr_icao |   A1 |   1.3 |   808 |  33.619354 |-117.956001 |Sat Jan 29 22:07:39 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  33.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:39 2022 |
| A83988  | ASA810  |  0375 |  4.7 |  -4.8 |    adsb_icao |   A3 |   0.1 |  8781 |  33.702331 |-117.851944 |Sat Jan 29 22:07:39 2022 |
| A14D65  | N183SD  |  0575 |  1.8 | -10.3 |    adsb_icao |   A7 |   0.3 | 20764 |  33.661411 |-117.847424 |Sat Jan 29 22:07:39 2022 |
| A53BC6  | N4360F  |  5200 |  7.5 |  -7.2 |    adsb_icao |   A1 |   0.4 |  2795 |  33.526223 |-117.844624 |Sat Jan 29 22:07:39 2022 |
| A4190F  | N363SP  |  3200 |  4.3 |  -4.4 |    adsr_icao |   A1 |   0.3 |  1187 |  33.683942 |-117.794552 |Sat Jan 29 22:07:39 2022 |
| AC8AC8  | N907SL  |  1900 |  7.2 |  -5.2 |    adsb_icao |   A1 |   0.2 |  7034 |  33.663087 |-117.722454 |Sat Jan 29 22:07:39 2022 |
| ACAE7C  | N916RR  |  2150 |  8.3 | -11.4 |    adsb_icao |   A1 |   0.2 | 42824 |  33.662750 |-117.983187 |Sat Jan 29 22:07:41 2022 |
| A97675  | SKW3157 |  6850 |  7.8 |  -2.2 |    adsb_icao |   A2 |   0.2 |  4699 |  33.593948 |-117.968109 |Sat Jan 29 22:07:41 2022 |
| A93AE7  | N694PR  |  2200 |  6.8 | -30.0 |    adsr_icao |   A1 |   0.0 |   814 |  33.619720 |-117.958467 |Sat Jan 29 22:07:41 2022 |
| A7EB78  | N6093J  |  0000 |  3.1 | -28.4 |    adsr_icao |   A1 |  35.5 |  4797 |  33.670303 |-117.874781 |Sat Jan 29 22:07:41 2022 |
