|  icao   | flight  | alt   | dist | rssi  |   type       |  cat | seen  | mesg  | lat        | long       |         time            |
| ACAE7C  | N916RR  |  2150 |  7.5 |  -2.7 |    adsb_icao |   A1 |   0.1 | 42993 |  33.664581 |-117.968277 |Sat Jan 29 22:08:02 2022 |
| A14D65  | N183SD  |  0550 |  2.6 |  -2.2 |    adsb_icao |   A7 |   0.5 | 20820 |  33.669511 |-117.859097 |Sat Jan 29 22:08:02 2022 |
| A83988  | ASA810  |  0125 |  4.0 |  -1.7 |    adsb_icao |   A3 |   3.0 |  8986 |  33.691205 |-117.858982 |Sat Jan 29 22:08:02 2022 |
| A53BC6  | N4360F  |  5225 |  7.0 |  -2.8 |    adsb_icao |   A1 |   0.1 |  3038 |  33.533936 |-117.857758 |Sat Jan 29 22:08:02 2022 |
| A4190F  | N363SP  |  3400 |  5.0 |  -5.7 |    adsr_icao |   A1 |   1.2 |  1292 |  33.690857 |-117.787675 |Sat Jan 29 22:08:02 2022 |
| AC8AC8  | N907SL  |  2000 |  7.0 |  -2.3 |    adsb_icao |   A1 |   0.1 |  7237 |  33.665451 |-117.725344 |Sat Jan 29 22:08:02 2022 |
| A97675  | SKW3157 |  6875 |  8.0 |  -4.7 |    adsb_icao |   A2 |   0.2 |  4931 |  33.617661 |-117.979039 |Sat Jan 29 22:08:04 2022 |
| A93AE7  | N694PR  |  2200 |  7.7 | -24.2 |    adsr_icao |   A1 |   1.5 |   868 |  33.624481 |-117.974723 |Sat Jan 29 22:08:04 2022 |
| ACAE7C  | N916RR  |  2150 |  7.5 |  -2.3 |    adsb_icao |   A1 |   0.1 | 43018 |  33.664716 |-117.967243 |Sat Jan 29 22:08:04 2022 |
| A83988  | ASA810  |  0100 |  3.9 |  -1.8 |    adsb_icao |   A3 |   0.4 |  8988 |  33.689026 |-117.860375 |Sat Jan 29 22:08:04 2022 |
| A14D65  | N183SD  |  0550 |  2.6 |  -2.1 |    adsb_icao |   A7 |   1.3 | 20825 |  33.669511 |-117.859097 |Sat Jan 29 22:08:04 2022 |
| A53BC6  | N4360F  |  5225 |  7.0 |  -3.2 |    adsb_icao |   A1 |   0.6 |  3054 |  33.534277 |-117.858413 |Sat Jan 29 22:08:04 2022 |
| A4190F  | N363SP  |  3400 |  5.0 |  -3.6 |    adsr_icao |   A1 |   0.2 |  1307 |  33.691810 |-117.786827 |Sat Jan 29 22:08:04 2022 |
| AC8AC8  | N907SL  |  1900 |  7.1 |  -2.1 |    adsb_icao |   A1 |   0.2 |  7252 |  33.665359 |-117.724616 |Sat Jan 29 22:08:04 2022 |
| A97675  | SKW3157 |  6875 |  8.0 |  -2.4 |    adsb_icao |   A2 |   0.2 |  4946 |  33.619720 |-117.979992 |Sat Jan 29 22:08:06 2022 |
| A93AE7  | N694PR  |  2200 |  7.8 | -26.0 |    adsr_icao |   A1 |   0.6 |   878 |  33.625305 |-117.977077 |Sat Jan 29 22:08:06 2022 |
| ACAE7C  | N916RR  |  2150 |  7.4 |  -2.9 |    adsb_icao |   A1 |   0.2 | 43041 |  33.664856 |-117.965754 |Sat Jan 29 22:08:06 2022 |
| A83988  | ASA810  |  0075 |  3.8 |  -1.8 |    adsb_icao |   A3 |   0.1 |  8994 |  33.687881 |-117.861104 |Sat Jan 29 22:08:06 2022 |
| A14D65  | N183SD  |  0550 |  2.7 |  -1.7 |    adsb_icao |   A7 |   1.4 | 20831 |  33.670624 |-117.860824 |Sat Jan 29 22:08:06 2022 |
| A53BC6  | N4360F  |  5225 |  7.0 |  -7.0 |    adsb_icao |   A1 |   0.1 |  3073 |  33.535068 |-117.859759 |Sat Jan 29 22:08:06 2022 |
| A4190F  | N363SP  |  3500 |  5.1 |  -4.5 |    adsr_icao |   A1 |   0.4 |  1316 |  33.692461 |-117.786255 |Sat Jan 29 22:08:06 2022 |
| AC8AC8  | N907SL  |  1900 |  7.1 |  -2.3 |    adsb_icao |   A1 |   0.3 |  7271 |  33.665176 |-117.723719 |Sat Jan 29 22:08:06 2022 |
| A97675  | SKW3157 |  6875 |  8.0 |  -3.0 |    adsb_icao |   A2 |   0.1 |  4950 |  33.619720 |-117.979992 |Sat Jan 29 22:08:07 2022 |
| A93AE7  | N694PR  |  2200 |  7.8 | -26.0 |    adsr_icao |   A1 |   1.6 |   878 |  33.625305 |-117.977077 |Sat Jan 29 22:08:07 2022 |
| ACAE7C  | N916RR  |  2150 |  7.4 |  -2.7 |    adsb_icao |   A1 |   0.3 | 43052 |  33.664949 |-117.965012 |Sat Jan 29 22:08:07 2022 |
| A83988  | ASA810  |  0050 |  3.8 |  -1.7 |    adsb_icao |   A3 |   0.2 |  8996 |  33.687015 |-117.861671 |Sat Jan 29 22:08:07 2022 |
| A14D65  | N183SD  |  0550 |  2.7 |  -1.7 |    adsb_icao |   A7 |   2.4 | 20831 |  33.670624 |-117.860824 |Sat Jan 29 22:08:07 2022 |
| A53BC6  | N4360F  |  5225 |  7.0 |  -6.8 |    adsb_icao |   A1 |   0.4 |  3079 |  33.535441 |-117.860431 |Sat Jan 29 22:08:07 2022 |
| A4190F  | N363SP  |  3500 |  5.1 |  -4.5 |    adsr_icao |   A1 |   1.4 |  1316 |  33.692461 |-117.786255 |Sat Jan 29 22:08:07 2022 |
| AC8AC8  | N907SL  |  1900 |  7.1 |  -2.6 |    adsb_icao |   A1 |   0.3 |  7285 |  33.665039 |-117.723270 |Sat Jan 29 22:08:07 2022 |
| A97675  | SKW3157 |  6875 |  8.0 |  -1.9 |    adsb_icao |   A2 |   0.1 |  4976 |  33.622650 |-117.981281 |Sat Jan 29 22:08:09 2022 |
| A93AE7  | N694PR  |  2200 |  7.9 | -25.8 |    adsr_icao |   A1 |   0.7 |   884 |  33.626083 |-117.979039 |Sat Jan 29 22:08:09 2022 |
| ACAE7C  | N916RR  |  2150 |  7.3 |  -2.8 |    adsb_icao |   A1 |   0.2 | 43077 |  33.665085 |-117.963568 |Sat Jan 29 22:08:09 2022 |
| A83988  | ASA810  |  0050 |  3.7 |  -1.7 |    adsb_icao |   A3 |   1.0 |  9000 |  33.686177 |-117.862186 |Sat Jan 29 22:08:09 2022 |
| A53BC6  | N4360F  |  5225 |  6.9 |  -4.5 |    adsb_icao |   A1 |   0.5 |  3093 |  33.536041 |-117.861548 |Sat Jan 29 22:08:09 2022 |
| A14D65  | N183SD  |  0550 |  2.7 |  -1.6 |    adsb_icao |   A7 |   0.1 | 20832 |  33.670624 |-117.860824 |Sat Jan 29 22:08:09 2022 |
| A4190F  | N363SP  |  3500 |  5.2 |  -4.6 |    adsr_icao |   A1 |   0.7 |  1328 |  33.693237 |-117.785601 |Sat Jan 29 22:08:09 2022 |
| AC8AC8  | N907SL  |  1900 |  7.2 |  -2.9 |    adsb_icao |   A1 |   0.1 |  7296 |  33.664856 |-117.722397 |Sat Jan 29 22:08:09 2022 |
| A97675  | SKW3157 |  6850 |  8.1 |  -2.0 |    adsb_icao |   A2 |   0.1 |  5004 |  33.625122 |-117.982402 |Sat Jan 29 22:08:11 2022 |
| A93AE7  | N694PR  |  2200 |  8.0 | -27.7 |    adsr_icao |   A1 |   1.3 |   888 |  33.626541 |-117.980440 |Sat Jan 29 22:08:11 2022 |
| ACAE7C  | N916RR  |  2150 |  7.2 |  -6.3 |    adsb_icao |   A1 |   0.2 | 43103 |  33.665222 |-117.962167 |Sat Jan 29 22:08:11 2022 |
| A53BC6  | N4360F  |  5250 |  6.9 |  -8.0 |    adsb_icao |   A1 |   0.1 |  3111 |  33.536698 |-117.862617 |Sat Jan 29 22:08:11 2022 |
| A83988  | ASA810  |  0025 |  3.7 |  -1.7 |    adsb_icao |   A3 |   1.6 |  9006 |  33.685572 |-117.862587 |Sat Jan 29 22:08:11 2022 |
| A14D65  | N183SD  |  0550 |  2.7 |  -1.6 |    adsb_icao |   A7 |   2.1 | 20832 |  33.670624 |-117.860824 |Sat Jan 29 22:08:11 2022 |
| A4190F  | N363SP  |  3500 |  5.2 |  -3.6 |    adsr_icao |   A1 |   0.5 |  1347 |  33.693998 |-117.784939 |Sat Jan 29 22:08:11 2022 |
| AC8AC8  | N907SL  |  1900 |  7.2 |  -2.2 |    adsb_icao |   A1 |   0.0 |  7316 |  33.664577 |-117.721310 |Sat Jan 29 22:08:11 2022 |
| A97675  | SKW3157 |  6850 |  8.1 |  -2.6 |    adsb_icao |   A2 |   0.1 |  5025 |  33.626683 |-117.983093 |Sat Jan 29 22:08:13 2022 |
| A93AE7  | N694PR  |  2200 |  8.1 | -30.2 |    adsr_icao |   A1 |   0.4 |   894 |  33.627319 |-117.982346 |Sat Jan 29 22:08:13 2022 |
| ACAE7C  | N916RR  |  2150 |  7.1 |  -4.6 |    adsb_icao |   A1 |   0.2 | 43125 |  33.665359 |-117.960822 |Sat Jan 29 22:08:13 2022 |
| A53BC6  | N4360F  |  5225 |  6.9 |  -3.5 |    adsb_icao |   A1 |   0.6 |  3129 |  33.537396 |-117.863682 |Sat Jan 29 22:08:13 2022 |
| A83988  | ASA810  |  0025 |  3.7 |  -1.7 |    adsb_icao |   A3 |   3.6 |  9006 |  33.685572 |-117.862587 |Sat Jan 29 22:08:13 2022 |
| A14D65  | N183SD  |  0550 |  2.7 |  -1.7 |    adsb_icao |   A7 |   4.1 | 20833 |  33.670624 |-117.860824 |Sat Jan 29 22:08:13 2022 |
| A4190F  | N363SP  |  3600 |  5.3 |  -4.4 |    adsr_icao |   A1 |   0.3 |  1352 |  33.694702 |-117.784368 |Sat Jan 29 22:08:13 2022 |
| AC8AC8  | N907SL  |  1900 |  7.3 |  -2.4 |    adsb_icao |   A1 |   0.1 |  7335 |  33.664352 |-117.720468 |Sat Jan 29 22:08:13 2022 |
| A97675  | SKW3157 |  6850 |  8.2 |  -2.4 |    adsb_icao |   A2 |   0.1 |  5032 |  33.628235 |-117.983803 |Sat Jan 29 22:08:14 2022 |
| A93AE7  | N694PR  |  2200 |  8.1 | -30.2 |    adsr_icao |   A1 |   1.4 |   894 |  33.627319 |-117.982346 |Sat Jan 29 22:08:14 2022 |
| ACAE7C  | N916RR  |  2150 |  7.1 |  -4.1 |    adsb_icao |   A1 |   0.2 | 43139 |  33.665451 |-117.960149 |Sat Jan 29 22:08:14 2022 |
| A14D65  | N183SD  |  0575 |  2.9 |  -1.7 |    adsb_icao |   A7 |   0.4 | 20840 |  33.673233 |-117.864691 |Sat Jan 29 22:08:14 2022 |
| A53BC6  | N4360F  |  5225 |  6.8 | -10.8 |    adsb_icao |   A1 |   0.4 |  3141 |  33.537781 |-117.864294 |Sat Jan 29 22:08:14 2022 |
| A83988  | ASA810  |  0025 |  3.7 |  -1.6 |    adsb_icao |   A3 |   4.6 |  9009 |  33.685572 |-117.862587 |Sat Jan 29 22:08:14 2022 |
| A4190F  | N363SP  |  3600 |  5.3 |  -7.0 |    adsr_icao |   A1 |   0.4 |  1358 |  33.694977 |-117.784144 |Sat Jan 29 22:08:14 2022 |
| AC8AC8  | N907SL  |  1900 |  7.3 |  -2.7 |    adsb_icao |   A1 |   0.5 |  7338 |  33.664297 |-117.720222 |Sat Jan 29 22:08:14 2022 |
| A97675  | SKW3157 |  6875 |  8.2 |  -2.3 |    adsb_icao |   A2 |   0.1 |  5066 |  33.630295 |-117.984756 |Sat Jan 29 22:08:16 2022 |
| A93AE7  | N694PR  |  2200 |  8.2 | -27.3 |    adsr_icao |   A1 |   1.1 |   898 |  33.627960 |-117.983915 |Sat Jan 29 22:08:16 2022 |
| ACAE7C  | N916RR  |  2150 |  7.0 |  -2.4 |    adsb_icao |   A1 |   0.2 | 43162 |  33.665647 |-117.958717 |Sat Jan 29 22:08:16 2022 |
| A53BC6  | N4360F  |  5250 |  6.8 |  -7.1 |    adsb_icao |   A1 |   0.1 |  3169 |  33.538696 |-117.865558 |Sat Jan 29 22:08:16 2022 |
| A14D65  | N183SD  |  0575 |  2.9 |  -1.5 |    adsb_icao |   A7 |   0.3 | 20841 |  33.673233 |-117.864691 |Sat Jan 29 22:08:16 2022 |
| A83988  | ASA810  |  0025 |  3.7 |  -1.6 |    adsb_icao |   A3 |   6.6 |  9009 |  33.685572 |-117.862587 |Sat Jan 29 22:08:16 2022 |
| A4190F  | N363SP  |  3600 |  5.4 |  -4.3 |    adsr_icao |   A1 |   0.5 |  1368 |  33.695627 |-117.783623 |Sat Jan 29 22:08:16 2022 |
| AC8AC8  | N907SL  |  1900 |  7.3 |  -2.7 |    adsb_icao |   A1 |   0.1 |  7357 |  33.664032 |-117.719235 |Sat Jan 29 22:08:16 2022 |
| A93AE7  | N694PR  |  2200 |  8.3 | -27.4 |    adsr_icao |   A1 |   0.0 |   904 |  33.628922 |-117.986326 |Sat Jan 29 22:08:18 2022 |
| A97675  | SKW3157 |  6875 |  8.2 |  -2.4 |    adsb_icao |   A2 |   0.4 |  5097 |  33.632037 |-117.985554 |Sat Jan 29 22:08:18 2022 |
| ACAE7C  | N916RR  |  2150 |  6.9 |  -7.1 |    adsb_icao |   A1 |   0.0 | 43190 |  33.665817 |-117.957234 |Sat Jan 29 22:08:18 2022 |
| A53BC6  | N4360F  |  5250 |  6.8 |  -5.6 |    adsb_icao |   A1 |   0.1 |  3191 |  33.539337 |-117.866382 |Sat Jan 29 22:08:18 2022 |
| A83988  | ASA810  | -0075 |  3.4 |  -6.8 |    adsb_icao |   A3 |   0.0 |  9031 |  33.680786 |-117.865588 |Sat Jan 29 22:08:18 2022 |
| A14D65  | N183SD  |  0575 |  2.9 |  -7.1 |    adsb_icao |   A7 |   0.1 | 20855 |  33.673233 |-117.864691 |Sat Jan 29 22:08:18 2022 |
| A4190F  | N363SP  |  3600 |  5.4 |  -6.8 |    adsr_icao |   A1 |   0.0 |  1377 |  33.696442 |-117.782966 |Sat Jan 29 22:08:18 2022 |
| AC8AC8  | N907SL  |  1900 |  7.4 |  -5.8 |    adsb_icao |   A1 |   0.0 |  7386 |  33.663757 |-117.718338 |Sat Jan 29 22:08:18 2022 |
| A93AE7  | N694PR  |  2200 |  8.3 | -27.4 |    adsr_icao |   A1 |   1.0 |   904 |  33.628922 |-117.986326 |Sat Jan 29 22:08:19 2022 |
| A97675  | SKW3157 |  6875 |  8.3 |  -2.2 |    adsb_icao |   A2 |   0.1 |  5118 |  33.633179 |-117.986045 |Sat Jan 29 22:08:19 2022 |
| ACAE7C  | N916RR  |  2150 |  6.9 |  -6.4 |    adsb_icao |   A1 |   0.1 | 43207 |  33.665927 |-117.956600 |Sat Jan 29 22:08:19 2022 |
| A53BC6  | N4360F  |  5250 |  6.7 |  -3.6 |    adsb_icao |   A1 |   0.1 |  3204 |  33.539795 |-117.866986 |Sat Jan 29 22:08:19 2022 |
| A83988  | ASA810  | -0075 |  3.4 | -10.5 |    adsb_icao |   A3 |   0.4 |  9036 |  33.680786 |-117.865588 |Sat Jan 29 22:08:19 2022 |
| A14D65  | N183SD  |  0575 |  2.9 |  -7.6 |    adsb_icao |   A7 |   0.1 | 20867 |  33.673233 |-117.864691 |Sat Jan 29 22:08:19 2022 |
| A4190F  | N363SP  |  3600 |  5.5 |  -2.8 |    adsr_icao |   A1 |   0.1 |  1385 |  33.696698 |-117.782764 |Sat Jan 29 22:08:19 2022 |
| AC8AC8  | N907SL  |  1900 |  7.4 |  -3.6 |    adsb_icao |   A1 |   0.0 |  7402 |  33.663599 |-117.717819 |Sat Jan 29 22:08:19 2022 |
| A6C94F  | N53614  |  2800 | 10.0 |  -1.6 |    adsr_icao |   A1 |   0.4 |  2943 |  33.597448 |-117.674503 |Sat Jan 29 22:08:19 2022 |
| A93AE7  | N694PR  |  2200 |  8.4 | -28.5 |    adsr_icao |   A1 |   0.5 |   914 |  33.629654 |-117.988007 |Sat Jan 29 22:08:21 2022 |
| A97675  | SKW3157 |  6875 |  8.3 |  -2.5 |    adsb_icao |   A2 |   0.0 |  5134 |  33.635422 |-117.987054 |Sat Jan 29 22:08:21 2022 |
| ACAE7C  | N916RR  |  2125 |  6.8 |  -6.3 |    adsb_icao |   A1 |   0.0 | 43243 |  33.666092 |-117.955328 |Sat Jan 29 22:08:21 2022 |
| A53BC6  | N4360F  |  5250 |  6.7 |  -5.8 |    adsb_icao |   A1 |   0.3 |  3228 |  33.540422 |-117.867737 |Sat Jan 29 22:08:21 2022 |
| A83988  | ASA810  | -0125 |  3.4 | -12.7 |    adsb_icao |   A3 |   0.0 |  9054 |  33.679613 |-117.866364 |Sat Jan 29 22:08:21 2022 |
| A14D65  | N183SD  |  0575 |  2.9 | -20.3 |    adsb_icao |   A7 |   0.3 | 20875 |  33.673233 |-117.864691 |Sat Jan 29 22:08:21 2022 |
| A4190F  | N363SP  |  3700 |  5.5 |  -6.9 |    adsr_icao |   A1 |   0.0 |  1393 |  33.697403 |-117.782238 |Sat Jan 29 22:08:21 2022 |
| AC8AC8  | N907SL  |  1900 |  7.5 |  -6.1 |    adsb_icao |   A1 |   0.0 |  7432 |  33.663345 |-117.717105 |Sat Jan 29 22:08:21 2022 |
| A6C94F  | N53614  |  2800 | 10.0 |  -1.6 |    adsr_icao |   A1 |   1.5 |  2946 |  33.597355 |-117.674789 |Sat Jan 29 22:08:21 2022 |
| A93AE7  | N694PR  |  2200 |  8.5 | -29.1 |    adsr_icao |   A1 |   0.5 |   917 |  33.630249 |-117.989409 |Sat Jan 29 22:08:23 2022 |
| A97675  | SKW3157 |  6875 |  8.4 |  -2.3 |    adsb_icao |   A2 |   0.5 |  5158 |  33.637070 |-117.987783 |Sat Jan 29 22:08:23 2022 |
| ACAE7C  | N916RR  |  2100 |  6.8 |  -6.1 |    adsb_icao |   A1 |   0.1 | 43276 |  33.666299 |-117.953854 |Sat Jan 29 22:08:23 2022 |
| A53BC6  | N4360F  |  5250 |  6.6 |  -5.5 |    adsb_icao |   A1 |   0.1 |  3252 |  33.541489 |-117.869063 |Sat Jan 29 22:08:23 2022 |
| A14D65  | N183SD  |  0525 |  3.2 |  -7.3 |    adsb_icao |   A7 |   0.6 | 20895 |  33.676028 |-117.868481 |Sat Jan 29 22:08:23 2022 |
| A83988  | ASA810  | -0125 |  3.3 |  -9.9 |    adsb_icao |   A3 |   0.5 |  9065 |  33.678216 |-117.867279 |Sat Jan 29 22:08:23 2022 |
| A4190F  | N363SP  |  3700 |  5.6 |  -4.4 |    adsr_icao |   A1 |   0.3 |  1401 |  33.697952 |-117.781789 |Sat Jan 29 22:08:23 2022 |
| AC8AC8  | N907SL  |  1900 |  7.5 |  -7.7 |    adsb_icao |   A1 |   0.1 |  7465 |  33.663071 |-117.716376 |Sat Jan 29 22:08:23 2022 |
| A6C94F  | N53614  |  2800 |  9.9 |  -1.6 |    adsr_icao |   A1 |   1.1 |  2949 |  33.597169 |-117.675419 |Sat Jan 29 22:08:23 2022 |
| A93AE7  | N694PR  |  2200 |  8.5 | -10.2 |    adsr_icao |   A1 |   0.5 |   925 |  33.630826 |-117.990761 |Sat Jan 29 22:08:25 2022 |
| A97675  | SKW3157 |  6875 |  8.4 |  -4.9 |    adsb_icao |   A2 |   0.0 |  5207 |  33.639252 |-117.988758 |Sat Jan 29 22:08:25 2022 |
| ACAE7C  | N916RR  |  2075 |  6.7 |  -5.4 |    adsb_icao |   A1 |   0.0 | 43319 |  33.666532 |-117.952423 |Sat Jan 29 22:08:25 2022 |
| A53BC6  | N4360F  |  5250 |  6.6 |  -3.3 |    adsb_icao |   A1 |   0.0 |  3268 |  33.542267 |-117.870072 |Sat Jan 29 22:08:25 2022 |
| A14D65  | N183SD  |  0525 |  3.2 | -20.5 |    adsb_icao |   A7 |   0.6 | 20917 |  33.676028 |-117.868481 |Sat Jan 29 22:08:25 2022 |
| A83988  | ASA810  | -0125 |  3.3 | -20.2 |    adsb_icao |   A3 |   0.7 |  9074 |  33.678216 |-117.867279 |Sat Jan 29 22:08:25 2022 |
| A4190F  | N363SP  |  3700 |  5.6 |  -2.7 |    adsr_icao |   A1 |   0.6 |  1417 |  33.698560 |-117.781334 |Sat Jan 29 22:08:25 2022 |
| AC8AC8  | N907SL  |  1900 |  7.5 |  -7.9 |    adsb_icao |   A1 |   0.2 |  7494 |  33.662704 |-117.715311 |Sat Jan 29 22:08:25 2022 |
| A6C94F  | N53614  |  2800 |  9.9 |  -1.6 |    adsr_icao |   A1 |   0.3 |  2958 |  33.596750 |-117.676334 |Sat Jan 29 22:08:25 2022 |
| A93AE7  | N694PR  |  2200 |  8.6 | -10.2 |    adsr_icao |   A1 |   1.5 |   929 |  33.631119 |-117.991482 |Sat Jan 29 22:08:27 2022 |
| A97675  | SKW3157 |  6875 |  8.5 |  -5.1 |    adsb_icao |   A2 |   0.0 |  5252 |  33.641719 |-117.989845 |Sat Jan 29 22:08:27 2022 |
| ACAE7C  | N916RR  |  2050 |  6.6 |  -5.7 |    adsb_icao |   A1 |   0.2 | 43357 |  33.666718 |-117.950993 |Sat Jan 29 22:08:27 2022 |
| A53BC6  | N4360F  |  5250 |  6.6 |  -2.9 |    adsb_icao |   A1 |   0.5 |  3283 |  33.542862 |-117.870913 |Sat Jan 29 22:08:27 2022 |
| A83988  | ASA810  | -0125 |  3.2 |  -5.7 |    adsb_icao |   A3 |   0.2 |  9078 |  33.676028 |-117.868652 |Sat Jan 29 22:08:27 2022 |
| A14D65  | N183SD  |  0525 |  3.2 |  -3.5 |    adsb_icao |   A7 |   0.6 | 20930 |  33.676028 |-117.868481 |Sat Jan 29 22:08:27 2022 |
| A4190F  | N363SP  |  3700 |  5.7 |  -4.2 |    adsr_icao |   A1 |   0.4 |  1429 |  33.699212 |-117.780819 |Sat Jan 29 22:08:27 2022 |
| AC8AC8  | N907SL  |  1900 |  7.6 |  -7.4 |    adsb_icao |   A1 |   0.0 |  7515 |  33.662342 |-117.714443 |Sat Jan 29 22:08:27 2022 |
| A6C94F  | N53614  |  2800 |  9.9 |  -1.6 |    adsr_icao |   A1 |   1.6 |  2960 |  33.596558 |-117.676634 |Sat Jan 29 22:08:27 2022 |
| A93AE7  | N694PR  |  2200 |  8.7 |  -5.8 |    adsr_icao |   A1 |   0.4 |   939 |  33.631990 |-117.993507 |Sat Jan 29 22:08:29 2022 |
| A97675  | SKW3157 |  6875 |  8.6 |  -2.3 |    adsb_icao |   A2 |   0.1 |  5302 |  33.643535 |-117.990704 |Sat Jan 29 22:08:29 2022 |
| ACAE7C  | N916RR  |  2025 |  6.6 |  -3.1 |    adsb_icao |   A1 |   0.2 | 43391 |  33.666962 |-117.949611 |Sat Jan 29 22:08:29 2022 |
| A53BC6  | N4360F  |  5250 |  6.5 |  -2.4 |    adsb_icao |   A1 |   0.4 |  3300 |  33.543594 |-117.871978 |Sat Jan 29 22:08:29 2022 |
| A83988  | ASA810  | -0125 |  3.2 |  -2.6 |    adsb_icao |   A3 |   1.6 |  9083 |  33.675796 |-117.868767 |Sat Jan 29 22:08:29 2022 |
| A14D65  | N183SD  |  0525 |  3.2 |  -1.8 |    adsb_icao |   A7 |   0.3 | 20935 |  33.676028 |-117.868481 |Sat Jan 29 22:08:29 2022 |
| A4190F  | N363SP  |  3700 |  5.7 |  -5.3 |    adsr_icao |   A1 |   0.4 |  1438 |  33.699875 |-117.780276 |Sat Jan 29 22:08:29 2022 |
| AC8AC8  | N907SL  |  1900 |  7.6 |  -7.4 |    adsb_icao |   A1 |   0.5 |  7530 |  33.662064 |-117.713629 |Sat Jan 29 22:08:29 2022 |
| A6C94F  | N53614  |  2800 |  9.9 |  -1.6 |    adsr_icao |   A1 |   0.4 |  2970 |  33.595959 |-117.677364 |Sat Jan 29 22:08:29 2022 |
| A93AE7  | N694PR  |  2200 |  8.8 |  -2.9 |    adsr_icao |   A1 |   0.2 |   948 |  33.632642 |-117.995167 |Sat Jan 29 22:08:31 2022 |
| A97675  | SKW3157 |  6875 |  8.6 |  -5.1 |    adsb_icao |   A2 |   0.1 |  5346 |  33.645721 |-117.991651 |Sat Jan 29 22:08:31 2022 |
| ACAE7C  | N916RR  |  2000 |  6.5 |  -3.3 |    adsb_icao |   A1 |   0.4 | 43412 |  33.667090 |-117.948704 |Sat Jan 29 22:08:31 2022 |
| A53BC6  | N4360F  |  5250 |  6.5 |  -2.2 |    adsb_icao |   A1 |   0.4 |  3317 |  33.544099 |-117.872829 |Sat Jan 29 22:08:31 2022 |
| A14D65  | N183SD  |  0450 |  3.4 |  -2.8 |    adsb_icao |   A7 |   0.7 | 20943 |  33.678263 |-117.872028 |Sat Jan 29 22:08:31 2022 |
| A83988  | ASA810  | -0125 |  3.2 |  -2.6 |    adsb_icao |   A3 |   3.5 |  9083 |  33.675796 |-117.868767 |Sat Jan 29 22:08:31 2022 |
| A4190F  | N363SP  |  3800 |  5.8 |  -3.4 |    adsr_icao |   A1 |   0.2 |  1448 |  33.700515 |-117.779732 |Sat Jan 29 22:08:31 2022 |
| AC8AC8  | N907SL  |  1900 |  7.7 |  -4.7 |    adsb_icao |   A1 |   0.1 |  7543 |  33.661652 |-117.712620 |Sat Jan 29 22:08:31 2022 |
| A6C94F  | N53614  |  2800 |  9.8 |  -1.6 |    adsr_icao |   A1 |   0.9 |  2973 |  33.595447 |-117.677708 |Sat Jan 29 22:08:31 2022 |
| A93AE7  | N694PR  |  2200 |  8.9 |  -7.5 |    adsr_icao |   A1 |   0.5 |   957 |  33.633087 |-117.996471 |Sat Jan 29 22:08:33 2022 |
| A97675  | SKW3157 |  6875 |  8.7 |  -4.8 |    adsb_icao |   A2 |   0.1 |  5376 |  33.647259 |-117.992363 |Sat Jan 29 22:08:33 2022 |
| ACAE7C  | N916RR  |  1950 |  6.4 |  -2.8 |    adsb_icao |   A1 |   0.1 | 43428 |  33.667323 |-117.946987 |Sat Jan 29 22:08:33 2022 |
| A53BC6  | N4360F  |  5250 |  6.5 |  -2.2 |    adsb_icao |   A1 |   0.2 |  3333 |  33.544984 |-117.874317 |Sat Jan 29 22:08:33 2022 |
| A14D65  | N183SD  |  0425 |  3.5 |  -2.9 |    adsb_icao |   A7 |   0.9 | 20946 |  33.678729 |-117.872543 |Sat Jan 29 22:08:33 2022 |
| A83988  | ASA810  | -0125 |  3.2 |  -2.4 |    adsb_icao |   A3 |   5.5 |  9084 |  33.675796 |-117.868767 |Sat Jan 29 22:08:33 2022 |
| A4190F  | N363SP  |  3800 |  5.8 |  -5.4 |    adsr_icao |   A1 |   0.1 |  1457 |  33.701260 |-117.779045 |Sat Jan 29 22:08:33 2022 |
| AC8AC8  | N907SL  |  1900 |  7.7 |  -2.9 |    adsb_icao |   A1 |   0.1 |  7560 |  33.661331 |-117.711723 |Sat Jan 29 22:08:33 2022 |
| A6C94F  | N53614  |  2800 |  9.8 |  -1.6 |    adsr_icao |   A1 |   1.3 |  2977 |  33.595214 |-117.677879 |Sat Jan 29 22:08:33 2022 |
| A93AE7  | N694PR  |  2200 |  8.9 | -23.1 |    adsr_icao |   A1 |   0.4 |   963 |  33.633591 |-117.997704 |Sat Jan 29 22:08:35 2022 |
| A97675  | SKW3157 |  6875 |  8.7 |  -2.6 |    adsb_icao |   A2 |   0.1 |  5404 |  33.648972 |-117.993108 |Sat Jan 29 22:08:35 2022 |
| ACAE7C  | N916RR  |  1925 |  6.3 |  -8.4 |    adsb_icao |   A1 |   0.4 | 43449 |  33.667509 |-117.945442 |Sat Jan 29 22:08:35 2022 |
| A53BC6  | N4360F  |  5225 |  6.5 |  -2.2 |    adsb_icao |   A1 |   0.2 |  3353 |  33.545496 |-117.875290 |Sat Jan 29 22:08:35 2022 |
| A4ACAA  | N400AJ  |  0000 |  2.8 | -20.1 |    tisb_icao |   A3 |   0.4 |   118 |  33.666550 |-117.873155 |Sat Jan 29 22:08:35 2022 |
